Granule Name,Platform,Sensor,Beam Mode,Beam Mode Description,Orbit,Path Number,Frame Number,Acquisition Date,Processing Date,Processing Level,Start Time,End Time,Center Lat,Center Lon,Near Start Lat,Near Start Lon,Far Start Lat,Far Start Lon,Near End Lat,Near End Lon,Far End Lat,Far End Lon,Faraday Rotation,Ascending or Descending?,URL,Size (MB),Off Nadir Angle,Stack Size,Doppler,GroupID,
S1B_IW_SLC__1SDV_20200403T000713_20200403T000745_020972_027C7E_191E,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20972,121,459,2020-04-03T00:07:45.000000,2020-04-03T00:07:13.000000,SLC,2020-04-03T00:07:13.000000,2020-04-03T00:07:45.000000,39.7365,89.1713,40.48074,90.877983,40.876747,87.895462,38.576591,90.399261,38.973824,87.50087,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200403T000713_20200403T000745_020972_027C7E_191E.zip,4668.240774,NA,NA,NA,0,S1B_IWDV_0459_0466_020972_121
S1B_IW_SLC__1SDV_20200403T000649_20200403T000716_020972_027C7E_7AB1,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20972,121,454,2020-04-03T00:07:16.000000,2020-04-03T00:06:49.000000,SLC,2020-04-03T00:06:49.000000,2020-04-03T00:07:16.000000,41.3697,89.5396,41.972191,91.249519,42.366516,88.20121,40.352692,90.83139,40.747726,87.860504,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200403T000649_20200403T000716_020972_027C7E_7AB1.zip,4317.86418,NA,NA,NA,0,S1B_IWDV_0454_0460_020972_121
S1B_IW_SLC__1SDV_20200403T000623_20200403T000651_020972_027C7E_00B4,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20972,121,449,2020-04-03T00:06:51.000000,2020-04-03T00:06:23.000000,SLC,2020-04-03T00:06:23.000000,2020-04-03T00:06:51.000000,42.887,89.91,43.516434,91.673866,43.911461,88.539841,41.841263,91.22879,42.236637,88.181366,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200403T000623_20200403T000651_020972_027C7E_00B4.zip,4361.5469,NA,NA,NA,0,S1B_IWDV_0449_0455_020972_121
S1B_IW_SLC__1SDV_20200403T000558_20200403T000625_020972_027C7E_6C2C,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20972,121,444,2020-04-03T00:06:25.000000,2020-04-03T00:05:58.000000,SLC,2020-04-03T00:05:58.000000,2020-04-03T00:06:25.000000,44.4007,90.2839,45.004345,92.089684,45.400017,88.869072,43.379025,91.644463,43.774624,88.514702,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200403T000558_20200403T000625_020972_027C7E_6C2C.zip,3952.292964,NA,NA,NA,0,S1B_IWDV_0444_0450_020972_121
S1B_IW_SLC__1SDV_20200403T000533_20200403T000600_020972_027C7E_A8CC,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20972,121,439,2020-04-03T00:06:00.000000,2020-04-03T00:05:33.000000,SLC,2020-04-03T00:05:33.000000,2020-04-03T00:06:00.000000,45.8902,90.6466,46.49295,92.499908,46.888294,89.193832,44.868912,92.040947,45.26376,88.832771,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200403T000533_20200403T000600_020972_027C7E_A8CC.zip,4030.932215,NA,NA,NA,0,S1B_IWDV_0439_0445_020972_121
S1B_IW_SLC__1SDV_20200403T000508_20200403T000535_020972_027C7E_D193,Sentinel-1B,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",20972,121,434,2020-04-03T00:05:35.000000,2020-04-03T00:05:08.000000,SLC,2020-04-03T00:05:08.000000,2020-04-03T00:05:35.000000,47.3814,91.005,47.983074,92.905861,48.377171,89.514931,46.361465,92.432487,46.754627,89.146866,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20200403T000508_20200403T000535_020972_027C7E_D193.zip,4240.164948,NA,NA,NA,0,S1B_IWDV_0434_0440_020972_121
S1A_IW_SLC__1SDV_20200328T001150_20200328T001217_031868_03ADA6_7B03,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",31868,121,506,2020-03-28T00:12:17.000000,2020-03-28T00:11:50.000000,SLC,2020-03-28T00:11:50.000000,2020-03-28T00:12:17.000000,25.695,86.2123,26.295639,87.629539,26.709564,85.124031,24.668396,87.278534,25.085293,84.808594,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200328T001150_20200328T001217_031868_03ADA6_7B03.zip,4453.013902,NA,NA,NA,0,S1A_IWDV_0506_0512_031868_121
S1A_IW_SLC__1SDV_20200328T001126_20200328T001153_031868_03ADA6_67A1,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",31868,121,501,2020-03-28T00:11:53.000000,2020-03-28T00:11:26.000000,SLC,2020-03-28T00:11:26.000000,2020-03-28T00:11:53.000000,27.1944,86.5059,27.796556,87.93792,28.20636,85.40461,26.169672,87.583443,26.5823,85.088493,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200328T001126_20200328T001153_031868_03ADA6_67A1.zip,4495.606052,NA,NA,NA,0,S1A_IWDV_0501_0507_031868_121
S1A_IW_SLC__1SDV_20200328T001100_20200328T001128_031868_03ADA6_FAC4,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",31868,121,496,2020-03-28T00:11:28.000000,2020-03-28T00:11:00.000000,SLC,2020-03-28T00:11:00.000000,2020-03-28T00:11:28.000000,28.7295,86.7616,29.364468,88.204422,29.765446,85.663261,27.680368,87.834267,28.08415,85.335495,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200328T001100_20200328T001128_031868_03ADA6_FAC4.zip,4465.488882,NA,NA,NA,0,S1A_IWDV_0496_0502_031868_121
S1A_IW_SLC__1SDV_20200328T001035_20200328T001102_031868_03ADA6_DDAE,Sentinel-1A,C-SAR,IW,"Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.",31868,121,491,2020-03-28T00:11:02.000000,2020-03-28T00:10:35.000000,SLC,2020-03-28T00:10:35.000000,2020-03-28T00:11:02.000000,30.2538,87.0833,30.859421,88.542786,31.25848,85.958771,29.23513,88.180878,29.636713,85.641068,NA,DESCENDING,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200328T001035_20200328T001102_031868_03ADA6_DDAE.zip,4246.017445,NA,NA,NA,0,S1A_IWDV_0491_0497_031868_121
