"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Baseline Perp.","Doppler","GroupID"
"S1A_IW_SLC__1SSV_20170101T120038_20170101T120105_014638_017CD1_A1B4","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","14638","41","129","2017-01-01T12:01:05.000000","2017-01-01T12:00:38.000000","SLC","2017-01-01T12:00:38.000000","2017-01-01T12:01:05.000000","40.6755","88.8259","41.276932","87.131775","39.6576","87.546257","41.67345","90.150749","40.054897","90.490257","NA","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20170101T120038_20170101T120105_014638_017CD1_A1B4.zip","2153.8079767227173","NA","NA","NA","0","S1A_IWSV_0129_0134_014638_041"
"S1A_IW_SLC__1SSV_20170101T120013_20170101T120040_014638_017CD1_1732","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","14638","41","124","2017-01-01T12:00:40.000000","2017-01-01T12:00:13.000000","SLC","2017-01-01T12:00:13.000000","2017-01-01T12:00:40.000000","39.1849","89.1742","39.787209","87.51918","38.166779","87.92379","40.184002","90.466614","38.564667","90.801598","NA","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20170101T120013_20170101T120040_014638_017CD1_1732.zip","2235.801944732666","NA","NA","NA","0","S1A_IWSV_0124_0129_014638_041"
"S1A_IW_SLC__1SSV_20170101T115947_20170101T120015_014638_017CD1_76DD","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","14638","41","119","2017-01-01T12:00:15.000000","2017-01-01T11:59:47.000000","SLC","2017-01-01T11:59:47.000000","2017-01-01T12:00:15.000000","37.6714","89.5707","38.305168","87.958885","36.627167","88.36676","38.697735","90.814018","37.021236","91.155663","NA","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20170101T115947_20170101T120015_014638_017CD1_76DD.zip","2300.118339538574","NA","NA","NA","0","S1A_IWSV_0119_0124_014638_041"
"S1A_IW_SLC__1SSV_20170101T115922_20170101T115949_014638_017CD1_555B","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","14638","41","114","2017-01-01T11:59:49.000000","2017-01-01T11:59:22.000000","SLC","2017-01-01T11:59:22.000000","2017-01-01T11:59:49.000000","36.151","89.9164","36.756645","88.346771","35.135231","88.732483","37.14975","91.13607","35.530052","91.462494","NA","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20170101T115922_20170101T115949_014638_017CD1_555B.zip","2211.1139392852783","NA","NA","NA","0","S1A_IWSV_0114_0119_014638_041"
"S1A_IW_SLC__1SSV_20170101T115857_20170101T115924_014638_017CD1_EBEE","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","14638","41","109","2017-01-01T11:59:24.000000","2017-01-01T11:58:57.000000","SLC","2017-01-01T11:58:57.000000","2017-01-01T11:59:24.000000","34.657","90.239","35.262482","88.698143","33.640366","89.076912","35.657497","91.434441","34.037331","91.758034","NA","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20170101T115857_20170101T115924_014638_017CD1_EBEE.zip","2192.3512020111084","NA","NA","NA","0","S1A_IWSV_0109_0114_014638_041"
"S1A_IW_SLC__1SSV_20170101T115833_20170101T115900_014638_017CD1_99B7","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","14638","41","104","2017-01-01T11:59:00.000000","2017-01-01T11:58:33.000000","SLC","2017-01-01T11:58:33.000000","2017-01-01T11:59:00.000000","33.1635","90.5649","33.76931","89.052643","32.145912","89.425102","34.165684","91.735741","32.544456","92.056938","NA","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20170101T115833_20170101T115900_014638_017CD1_99B7.zip","2249.523337364197","NA","NA","NA","0","S1A_IWSV_0104_0109_014638_041"
"S1A_IW_SLC__1SSV_20161230T121551_20161230T121618_014609_017BF7_7C67","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","14609","12","114","2016-12-30T12:16:18.000000","2016-12-30T12:15:51.000000","SLC","2016-12-30T12:15:51.000000","2016-12-30T12:16:18.000000","36.1639","85.7921","36.798077","84.211349","35.118427","84.611229","37.192348","87.009727","35.514473","87.347977","NA","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20161230T121551_20161230T121618_014609_017BF7_7C67.zip","2277.4184007644653","NA","NA","NA","0","S1A_IWSV_0114_0119_014609_012"
"S1A_IW_SLC__1SSV_20161230T121526_20161230T121553_014609_017BF7_2748","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","14609","12","109","2016-12-30T12:15:53.000000","2016-12-30T12:15:26.000000","SLC","2016-12-30T12:15:26.000000","2016-12-30T12:15:53.000000","34.6423","86.1309","35.247742","84.58931","33.62537","84.968018","35.642986","87.327148","34.022575","87.650681","NA","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20161230T121526_20161230T121553_014609_017BF7_2748.zip","2232.023202896118","NA","NA","NA","0","S1A_IWSV_0109_0114_014609_012"
"S1A_IW_SLC__1SSV_20161230T121501_20161230T121528_014609_017BF7_59D0","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","14609","12","104","2016-12-30T12:15:28.000000","2016-12-30T12:15:01.000000","SLC","2016-12-30T12:15:01.000000","2016-12-30T12:15:28.000000","33.1476","86.4495","33.752991","84.934586","32.129341","85.307182","34.150333","87.623016","32.528854","87.94426","NA","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20161230T121501_20161230T121528_014609_017BF7_59D0.zip","2227.8383045196533","NA","NA","NA","0","S1A_IWSV_0104_0109_014609_012"
"S1B_IW_SLC__1SSV_20161227T000037_20161227T000105_003574_0061E0_00D6","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","3574","48","483","2016-12-27T00:01:05.000000","2016-12-27T00:00:37.000000","SLC","2016-12-27T00:00:37.000000","2016-12-27T00:01:05.000000","32.9274","89.7046","33.562847","91.215874","33.958565","88.546898","31.880951","90.830879","32.278927","88.214256","NA","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SSV_20161227T000037_20161227T000105_003574_0061E0_00D6.zip","2321.395791053772","NA","NA","NA","0","S1B_IWSV_0483_0488_003574_048"
